"ThreatHi","SamPt","NetComp","Gender","Educ","OwnPC","UseNet","nextyear_M","Statements1","OpinionPak","OpinionRussia","CanBuy_M","Region_M","TodayEcSit_M","GeoCode","AgeGroup2","TrustGov_M","totwt"
"0","54","2","Female",11,"Yes","Yes","3","2","2","4","2","Southern","4","Rural","3","Trust",0.830769900456323
"0","54","1","Male",11,"Yes","No","3","4","1","4","1","Southern","3","Rural","4","Trust",1.52674006806282
"1","54","1","Female",9,"Yes","No","1","3",NA,"4","3","Southern","2","Rural","5","Trust",1.04385084712022
"1","59","1","Female",13,"Yes","Yes","1","3","1","4","4","Southern","3","Rural","1","Trust",0.796351251094965
"1","67","1","Female",10,"No","No","3","1","4","4","4","Southern","4","Rural","3","Trust",0.830769900456323
"0","67","1","Male",10,"No","No","3","1","1","4","3","Southern","5","Rural","3","Trust",1.20476535794882
"1","68","1","Female",11,"No","Yes","2","3","3","3","3","Eastern","5","Rural","1","Trust",0.566835246524889
"0","68","5","Male",15,"Yes","Yes","3","3","3","4","3","Eastern","2","Rural","2","Distrust",0.827297321350213
"0","70","5","Female",11,"No","Yes","3","4","1","4","2","Eastern","2","Rural","2","Trust",0.570479312648942
"0","70","1","Male",6,"No","No","3",NA,NA,"4","3","Eastern","4","Rural","5","Trust",1.07748776322265
"1","70","1","Female",12,"Yes","Yes","3","4",NA,"4","2","Eastern","2","Rural","4","Trust",0.74936872908633
"0","70","5","Female",14,"Yes","Yes","3","4",NA,"4","3","Eastern","2","Rural","1","Trust",0.566835246524889
"0","70","1","Female",9,NA,NA,"2","3",NA,"4","2","Eastern","3","Rural","1","Trust",0.566835246524889
"0","71","1","Female",14,"Yes","Yes","3","3","3","4","3","Eastern","3","Rural","1","Trust",0.566835246524889
NA,"71","2","Male",11,"No","Yes","3","3",NA,"4","4","Eastern","2","Rural","1","Trust",0.822012771890822
"0","71","1","Male",14,"Yes","No","2","3","3","4","2","Eastern","2","Rural","5","Trust",1.07748776322265
"1","71","4","Female",11,"Yes","Yes","2","3","2","4","1","Eastern","2","Rural","3","Trust",0.591334113788516
"0","71","5","Male",16,"Yes","Yes","3","3","3","3","3","Eastern","3","Rural","5","Trust",1.07748776322265
"0","72","1","Female",13,"No","No","3","4","2","3","1","Northern","4","Rural","3","Trust",0.693441186435793
"1","72","5","Male",13,"No","Yes","2","4","3","4","4","Northern","3","Rural","1","Trust",0.963951678947457
"1","72","1","Female",15,"No","Yes","2","3","1","3","4","Northern","4","Rural","4","Distrust",0.878764015906838
"1","72","4","Female",11,"Yes","Yes","3","3",NA,"3","4","Northern","3","Rural","2","Distrust",0.668985337013447
"0","72","5","Male",11,"Yes","Yes","2","2","2","4","4","Northern","3","Rural","1","Trust",0.963951678947457
"0","72","1","Female",11,"No","No","3","4","3","3","3","Northern","4","Rural","5","Trust",0.871299224359785
"1","72","5","Male",13,"Yes","Yes","2","2","2","4","5","Northern","3","Rural","1","Trust",0.963951678947457
"1","73","4","Male",11,"Yes","Yes","2","3","2","4","4","Northern","4","Rural","1","Distrust",0.963951678947457
"0","73","5","Male",13,"Yes","Yes","2","3","3","4","6","Northern","2","Rural","1","Trust",0.963951678947457
"1","73","5","Male",10,"Yes","Yes","2","2","1","4","5","Northern","3","Rural","2","Trust",0.970148724173583
"0","73",NA,"Male",11,"No","No","1","2","2","2",NA,"Northern","3","Rural","1",NA,0.963951678947457
"0","73","1","Male",13,"No","Yes","2","3","3","4","3","Northern","4","Rural","2","Trust",0.970148724173583
"0","73","5","Female",14,"Yes","Yes","2","2","2","4","1","Northern","5","Rural","1","Trust",0.664712041295186
"0","73","5","Female",12,"Yes","Yes","3","4","2","4","2","Northern","3","Rural","2","Trust",0.668985337013447
"1","73","3","Female",14,"Yes","Yes","2","4",NA,"4","2","Northern","4","Rural","4","Trust",0.878764015906838
"0","73","5","Male",15,"Yes","Yes","2","1","1","4","2","Northern","4","Rural","2","Trust",0.970148724173583
"0","74","1","Female",10,"No","No","2","3","3","3","3","Northern","2","Rural","1","Distrust",0.664712041295186
"0","74","1","Female",9,"No","Yes","2","2","2","3","3","Northern","3","Rural","1","Distrust",0.664712041295186
"1","74","1","Female",10,"No","Yes","2","3","2","3","3","Northern","4","Rural","1","Distrust",0.664712041295186
"1","74","1","Female",13,"No","No","3","3","4","4","3","Northern","3","Rural","2","Trust",0.668985337013447
"0","74","5","Female",15,"Yes","Yes","2","2","2","4","2","Northern","2","Rural","1","Trust",0.664712041295186
"1","74","5","Female",14,"Yes","Yes","2","4","2","3","3","Northern","3","Rural","5","Trust",0.871299224359785
"1","75","5","Female",18,"Yes","Yes","2","4","3","3","3","Eastern","2","Rural","5","Trust",0.743003105035672
"0","75","4","Female",15,"Yes","Yes","1","4",NA,"4","3","Eastern","2","Rural","4","Trust",0.74936872908633
"0","75","5","Male",16,"Yes","Yes","3","4",NA,"4","4","Eastern","2","Rural","2","Trust",0.827297321350213
"0","75","1","Female",12,"No","No","3",NA,NA,"4","2","Eastern","3","Rural","4","Trust",0.74936872908633
"1","76","5","Male",11,"Yes","Yes","3","1","3","4","4","Eastern","5","Rural","1","Trust",0.822012771890822
"1","76","1","Female",16,"No","No",NA,"4","2","4","4","Eastern","4","Rural","4","Trust",0.74936872908633
"1","76","5","Female",16,"Yes","Yes","3","3","2","3","6","Eastern","2","Rural","4","Trust",0.74936872908633
"1","77","1","Female",12,"No","No","2","4",NA,"3","2","Eastern","3","Rural","4","Trust",0.74936872908633
"1","77","1","Male",9,"No","No",NA,"3","2","4",NA,"Eastern","4","Rural","4","Trust",1.08671905979917
"0","77","1","Female",11,"Yes","Yes","2",NA,NA,"3","3","Eastern","4","Rural","1","Trust",0.566835246524889
"1","78","1","Female",13,"Yes","No","3","2","2","3","6","Eastern","3","Rural","3","Trust",0.591334113788516
"0","78","1","Male",42,"Yes","No",NA,"3","3","4","3","Eastern","2","Rural","4","Trust",1.08671905979917
"0","79","5","Female",9,"Yes","Yes","2","3","3","4","2","Eastern","3","Rural","2","Trust",0.570479312648942
NA,"79","5","Female",13,"Yes","Yes","2","2","3","4","1","Eastern","2","Rural","4","Trust",0.74936872908633
NA,"79","1","Female",9,"No","No","3","2",NA,"4","2","Eastern","3","Rural","2","Trust",0.570479312648942
"0","79","1","Female",12,"No","No","3",NA,NA,"3",NA,"Eastern","3","Rural","5","Trust",0.743003105035672
